PadID	Sector	Row  PadInRow     gCenX       gCenZ       gx[0]       gz[0]       gx[1]       gz[1]       gx[2]       gz[2]       gx[3]       gz[3]       lCenX       lCenZ       lx[0]       lz[0]       lx[1]       lz[1]       lx[2]       lz[2]       lx[3]       lz[3]
59	0	1        18      12.145     -32.105       11.43    -32.0402       12.86    -31.6698       12.86    -32.1993       11.43    -32.5107      32.105      12.145     32.0402       11.43     31.6698       12.86     32.1993       12.86     32.5107       11.43
60	0	1        19      12.145     -32.605       11.43    -32.5107       12.86    -32.1993       12.86    -32.7287       11.43    -32.9813      32.605      12.145     32.5107       11.43     32.1993       12.86     32.7287       12.86     32.9813       11.43
61	0	1        20      12.145     -33.105       11.43    -32.9813       12.86    -32.7287       12.86    -33.2582       11.43    -33.4518      33.105      12.145     32.9813       11.43     32.7287       12.86     33.2582       12.86     33.4518       11.43
62	0	1        21      12.145     -33.605       11.43    -33.4518       12.86    -33.2582       12.86    -33.7876       11.43    -33.9224      33.605      12.145     33.4518       11.43     33.2582       12.86     33.7876       12.86     33.9224       11.43
63	0	1        22      12.145     -34.105       11.43    -33.9224       12.86    -33.7876       12.86     -34.317       11.43     -34.393      34.105      12.145     33.9224       11.43     33.7876       12.86      34.317       12.86      34.393       11.43
64	0	1        23      12.145     -34.605       11.43     -34.393       12.86     -34.317       12.86    -34.8465       11.43    -34.8635      34.605      12.145      34.393       11.43      34.317       12.86     34.8465       12.86     34.8635       11.43
65	0	1        24      12.145     -35.105       11.43    -34.8635       12.86    -34.8465       12.86    -35.3759       11.43    -35.3341      35.105      12.145     34.8635       11.43     34.8465       12.86     35.3759       12.86     35.3341       11.43
66	0	1        25      12.145     -35.605       11.43    -35.3341       12.86    -35.3759       12.86    -35.9053       11.43    -35.8047      35.605      12.145     35.3341       11.43     35.3759       12.86     35.9053       12.86     35.8047       11.43
67	0	1        26      12.145     -36.105       11.43    -35.8047       12.86    -35.9053       12.86    -36.4348       11.43    -36.2752      36.105      12.145     35.8047       11.43     35.9053       12.86     36.4348       12.86     36.2752       11.43
68	0	1        27      12.145     -36.605       11.43    -36.2752       12.86    -36.4348       12.86    -36.9642       11.43    -36.7458      36.605      12.145     36.2752       11.43     36.4348       12.86     36.9642       12.86     36.7458       11.43
